# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-06-10 12:45:34 EDT       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 294643095035200 Lynchburg Res nr CWA Canal Inflow nr Baytown, TX
# -----------------------------------------------------------------------------------
#
# Data provided for site 294643095035200
#            TS   parameter     Description
#        163507       00010     Temperature, water, degrees Celsius
#        163508       00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#        163509       00400     pH, water, unfiltered, field, standard units
#        163510       63680     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU)
#        163511       00300     Dissolved oxygen, water, unfiltered, milligrams per liter
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	163507_00010	163507_00010_cd	163508_00095	163508_00095_cd	163509_00400	163509_00400_cd	163510_63680	163510_63680_cd	163511_00300	163511_00300_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	294643095035200	2018-02-06 00:00	CST	12.7	A	324	A	7.8	A	19.6	A	10.3	A
USGS	294643095035200	2018-02-06 00:15	CST	12.7	A	324	A	7.8	A	19.6	A	10.3	A
USGS	294643095035200	2018-02-06 00:30	CST	12.7	A	324	A	7.8	A	18.7	A	10.3	A
USGS	294643095035200	2018-02-06 00:45	CST	12.7	A	324	A	7.8	A	19.6	A	10.3	A
USGS	294643095035200	2018-02-06 01:00	CST	12.7	A	324	A	7.8	A	19.8	A	10.3	A
USGS	294643095035200	2018-02-06 01:15	CST	12.7	A	324	A	7.8	A	19.6	A	10.3	A
USGS	294643095035200	2018-02-06 01:30	CST	12.7	A	324	A	7.8	A	19.5	A	10.3	A
USGS	294643095035200	2018-02-06 01:45	CST	12.7	A	324	A	7.8	A	20.1	A	10.4	A
USGS	294643095035200	2018-02-06 02:00	CST	12.7	A	324	A	7.8	A	20.0	A	10.3	A
USGS	294643095035200	2018-02-06 02:15	CST	12.7	A	324	A	7.8	A	20.1	A	10.3	A
USGS	294643095035200	2018-02-06 02:30	CST	12.7	A	325	A	7.8	A	20.1	A	10.3	A
USGS	294643095035200	2018-02-06 02:45	CST	12.7	A	324	A	7.8	A	19.8	A	10.3	A
USGS	294643095035200	2018-02-06 03:00	CST	12.7	A	325	A	7.8	A	19.7	A	10.3	A
USGS	294643095035200	2018-02-06 03:15	CST	12.7	A	325	A	7.8	A	20.2	A	10.3	A
